"Year","Month","Day","DayOfWeek","out_Flights","out_Cancelled","out_Diverted","out_Delayed","in_Flights","in_Cancelled","in_Diverted","in_Delayed","Fog","Mist","Rain","Hail","Thunder","Tornado","PRCP","TMAX","TMIN","AWND"
2008,1,1,2,108,4,0,34,107,2,0,42,1,0,0,0,0,0,0,12.2,5,6.8
2008,1,2,3,118,1,0,34,118,0,0,49,0,0,0,0,0,0,0,6.7,0.6,7.9
2008,1,3,4,117,1,1,31,118,1,0,22,0,0,0,0,0,0,0,5.6,-2.2,3.8
2008,1,4,5,117,0,0,10,117,0,0,20,0,0,0,0,0,0,0,16.7,2.8,4.5
2008,1,5,6,106,0,1,13,105,0,0,27,0,0,0,0,0,0,0,21.7,12.2,4.8
2008,1,6,7,112,0,0,23,112,0,0,26,0,0,0,0,0,0,0,25,15,4.8
2008,1,7,1,115,1,0,9,115,0,0,7,1,0,1,0,0,0,0.3,25.6,15.6,4.6
2008,1,8,2,121,0,0,17,120,0,0,18,1,1,1,0,0,0,0,25.6,18.9,4.8
2008,1,9,3,110,1,0,10,111,1,0,11,1,1,1,0,0,0,1,21.7,13.9,3.1
2008,1,10,4,115,0,0,22,114,0,0,33,1,1,1,0,1,0,7.4,24.4,17.8,5.2
2008,1,11,5,114,0,0,10,115,0,0,16,0,0,0,0,0,0,0,17.8,8.9,3.4
2008,1,12,6,98,1,0,4,97,1,0,7,0,0,0,0,0,0,0,17.2,6.7,2.1
2008,1,13,7,105,1,0,6,106,0,0,15,1,0,0,0,0,0,0,17.2,7.2,3.8
2008,1,14,1,113,1,0,8,112,3,0,9,0,0,0,0,0,0,0,14.4,6.7,2.6
2008,1,15,2,109,0,0,5,109,0,0,10,0,0,1,0,0,0,0,16.7,6.1,1.2
2008,1,16,3,110,3,0,13,110,3,0,16,1,1,1,0,0,0,25.1,10.6,8.9,6.5
2008,1,17,4,114,3,0,34,114,3,0,48,1,1,0,0,0,0,0,12.2,7.8,4
2008,1,18,5,114,1,0,32,115,1,0,44,1,1,1,0,0,0,0.3,14.4,9.4,4.1
2008,1,19,6,95,5,0,28,95,6,1,32,1,1,1,0,1,0,16.3,10,1.7,8.2
2008,1,20,7,103,0,0,10,104,1,0,11,0,0,0,0,0,0,0,7.8,0,5.1
2008,1,21,1,115,2,0,16,114,0,0,31,0,0,0,0,0,0,0,12.8,1.7,5
2008,1,22,2,109,1,0,11,110,1,0,18,1,1,0,0,0,0,0,20.6,9.4,1.9
2008,1,23,3,112,1,0,15,112,1,0,20,1,1,1,0,0,0,0,14.4,11.7,3
