"Year","Month","Day","DayOfWeek","Flights","Cancelled","Diverted","Delayed"
2008,1,1,2,107,2,0,42
2008,1,2,3,118,0,0,49
2008,1,3,4,118,1,0,22
2008,1,4,5,117,0,0,20
2008,1,5,6,105,0,0,27
2008,1,6,7,112,0,0,26
2008,1,7,1,115,0,0,7
2008,1,8,2,120,0,0,18
2008,1,9,3,111,1,0,11
2008,1,10,4,114,0,0,33
2008,1,11,5,115,0,0,16
2008,1,12,6,97,1,0,7
2008,1,13,7,106,0,0,15
2008,1,14,1,112,3,0,9
2008,1,15,2,109,0,0,10
2008,1,16,3,110,3,0,16
2008,1,17,4,114,3,0,48
2008,1,18,5,115,1,0,44
2008,1,19,6,95,6,1,32
2008,1,20,7,104,1,0,11
2008,1,21,1,114,0,0,31
2008,1,22,2,110,1,0,18
2008,1,23,3,112,1,0,20
2008,1,24,4,116,0,0,20
2008,1,25,5,121,2,0,20
2008,1,26,6,96,1,0,16
2008,1,27,7,113,2,0,20
2008,1,28,1,115,1,0,12
2008,1,29,2,111,1,0,19
2008,1,30,3,111,1,0,13
2008,1,31,4,120,2,0,76
2008,2,1,5,123,1,0,50
2008,2,2,6,108,0,0,14
2008,2,3,7,113,1,0,22
2008,2,4,1,117,2,0,34
2008,2,5,2,113,0,0,35
2008,2,6,3,126,2,0,44
2008,2,7,4,118,0,0,31
2008,2,8,5,120,0,0,34
2008,2,9,6,101,0,0,16
2008,2,10,7,113,1,0,23
2008,2,11,1,117,1,0,23
2008,2,12,2,113,3,1,48
2008,2,13,3,115,2,1,31
2008,2,14,4,120,1,0,22
2008,2,15,5,120,0,0,32
2008,2,16,6,103,4,0,20
2008,2,17,7,109,3,0,33
2008,2,18,1,120,0,0,35
2008,2,19,2,117,0,0,18
2008,2,20,3,118,0,0,29
2008,2,21,4,119,0,0,49
2008,2,22,5,119,6,0,51
2008,2,23,6,102,1,0,18
2008,2,24,7,111,1,0,18
2008,2,25,1,119,0,1,23
2008,2,26,2,117,2,0,42
2008,2,27,3,110,1,0,10
2008,2,28,4,109,3,0,9
2008,2,29,5,109,0,0,28
2008,3,1,6,102,0,0,13
2008,3,2,7,108,0,0,20
2008,3,3,1,118,2,2,46
2008,3,4,2,117,2,0,32
2008,3,5,3,119,1,0,19
2008,3,6,4,118,5,0,38
2008,3,7,5,118,0,0,75
2008,3,8,6,112,5,0,46
2008,3,9,7,112,0,0,38
2008,3,10,1,119,1,0,38
2008,3,11,2,119,1,0,17
2008,3,12,3,120,2,0,19
2008,3,13,4,119,0,0,25
2008,3,14,5,119,0,0,34
2008,3,15,6,113,0,0,52
2008,3,16,7,111,0,0,27
2008,3,17,1,118,0,0,32
2008,3,18,2,118,12,0,38
2008,3,19,3,119,5,0,54
2008,3,20,4,118,0,0,34
2008,3,21,5,118,3,0,28
2008,3,22,6,111,0,0,27
2008,3,23,7,110,1,0,21
2008,3,24,1,118,0,0,14
2008,3,25,2,118,1,0,19
2008,3,26,3,119,5,0,16
2008,3,27,4,118,4,0,16
2008,3,28,5,118,0,0,32
2008,3,29,6,111,1,0,20
2008,3,30,7,111,1,0,35
2008,3,31,1,118,1,0,26
2008,4,1,2,116,0,0,21
2008,4,2,3,118,0,1,22
2008,4,3,4,119,1,0,33
2008,4,4,5,119,2,5,65
2008,4,5,6,111,0,0,39
2008,4,6,7,110,0,0,28
2008,4,7,1,117,1,0,11
2008,4,8,2,116,2,0,24
2008,4,9,3,116,8,1,23
2008,4,10,4,117,7,0,39
2008,4,11,5,116,4,0,39
2008,4,12,6,108,2,0,34
2008,4,13,7,107,0,0,27
2008,4,14,1,116,0,0,12
2008,4,15,2,114,0,0,9
2008,4,16,3,115,0,0,6
2008,4,17,4,116,1,0,13
2008,4,18,5,116,1,0,33
2008,4,19,6,108,2,0,17
2008,4,20,7,108,1,0,12
2008,4,21,1,114,0,1,9
